identity 64,0.034333333333333334,7.239216600581089e-18,
identity 128,0.06266666666666666,2.736215459272357e-18,
identity 192,0.08933333333333333,3.697380769824164e-18,
identity 256,0.11800000000000001,0.0,
identity 320,0.14866666666666667,2.8108241906506293e-18,
identity 384,0.18433333333333335,0.0,
identity 448,0.20299999999999999,2.48828698092447e-05,
identity 512,0.24000000000000002,0.0,
identity 576,0.26633333333333337,5.6917676951402626e-05,
identity 640,0.299,6.664346947229668e-06,
identity 704,0.33,0.00015142382007807042,
identity 768,0.3436666666666667,4.444334557390128e-06,
identity 832,0.3716666666666667,0.00013092424994558645,
identity 896,0.408,4.444334557390128e-06,
identity 960,0.43866666666666665,3.95373068390473e-05,
identity 1024,0.458,4.444334557390128e-06,
